Mercedes-Benz E-класс,$ 10 500,"2009 г., 2.1 л., автомат,седан, дизель,руль слева, 1 000 км",https://im.mashina.kg/tachka/images//e/2/0/e208cdf17dc7228693c2acfb53826688_240x180.jpg
Hyundai Santa Fe,$ 21 800,"2016 г., 2 л., автомат,внедорожник 5 дв., дизель,руль слева, 128 000 км",https://im.mashina.kg/tachka/images//1/b/9/1b9bcd1a6ce85b974ce9226c99411f7d_240x180.jpg
Lexus RX,$ 58 000,"2017 г., 3.5 л., вариатор,внедорожник 5 дв., гибрид,руль слева, 100 000 км",https://im.mashina.kg/tachka/images//7/8/b/78b206f0006ee280922a3d59e6ace78e_240x180.jpg
Toyota 4Runner,$ 43 500,"2017 г., 4 л., автомат,внедорожник 5 дв., бензин,руль слева, 83 000 км",https://im.mashina.kg/tachka/images//1/4/b/14b4c5765c48f25f430097143e2d1c55_240x180.jpg
Toyota Camry,$ 12 800,"2005 г., 3 л., автомат,седан, бензин,руль слева, 180 000 км",https://im.mashina.kg/tachka/images//f/a/9/fa942d4346a596cc8018e37af45c120a_240x180.jpg
BMW X7,$ 110 000,"2021 г., 3 л., автомат,внедорожник 5 дв., бензин,руль слева, 64 374 км",https://im.mashina.kg/tachka/images//3/3/c/33c08a8ee94c1649e24a8b4e0fcff0c7_240x180.jpg
Lexus ES,$ 24 500,"2014 г., 2.5 л., вариатор,седан, гибрид,руль слева, 176 000 км",https://im.mashina.kg/tachka/images//0/c/8/0c8f3a71b36de9093a2a036577e5fdcc_240x180.jpg
Mercedes-Benz E-класс,$ 7 200,"2001 г., 3.2 л., автомат,седан, бензин,руль слева, 234 000 км",https://im.mashina.kg/tachka/images//3/a/3/3a378f73d70df76f56aa2feeab6c3564_240x180.jpg
Kia Picanto,$ 4 614,"2004 г., 1.1 л., механика,хэтчбек 5 дв., бензин,руль слева, 180 000 км",https://im.mashina.kg/tachka/images//f/a/f/faf862a144c2c0d0eaeabc0c57929345_240x180.jpg
Kia K5 II Седан,$ 18 500,"2016 г., 2 л., автомат,седан, бензин,руль слева, 91 300 км",https://im.mashina.kg/tachka/images//1/8/0/1800e2a53ac5f762c38f0ec38f927391_240x180.jpg
Volkswagen ID.4,$ 33 000,"2021 г., автомат,внедорожник 5 дв., электро,руль слева, 24 000 км",https://im.mashina.kg/tachka/images//a/8/4/a844bd26ca6d7e66959a543e6269a3c6_240x180.jpg
BMW 7 Серия,$ 12 500,"2003 г., 3 л., автомат,седан, дизель,руль слева, 300 000 км",https://im.mashina.kg/tachka/images//a/d/c/adccaf3d0cae0c22e30a0015c207a003_240x180.jpg
Honda HR-V,$ 20 000,"2017 г., 1.8 л., вариатор,внедорожник 5 дв., бензин,руль слева, 70 811 км",https://im.mashina.kg/tachka/images//3/c/7/3c7695d4fdf98e848afc5619dd04ad3c_240x180.jpg
Infiniti FX,$ 8 500,"2004 г., 3.5 л., автомат,внедорожник 5 дв., бензин,руль слева, 150 000 км",https://im.mashina.kg/tachka/images//1/8/f/18f8de8a5c7963b22a202fdd81c96c4f_240x180.jpg
